tempo_execucao
55.2618
49.7238
46.9209
45.1098
33.6116
41.0206
43.5518
58.3737
51.4059
30.8331
51.2151
44.2897
41.4397
54.0236
58.1186
57.1447
39.8548
45.0306
51.2852
57.577
43.3708
46.2372
37.2463
36.3686
55.985
